#,term,course,topics
1,2026,Software Engineering,"Introduction; engineering approach to software development; application types and web-based software; software engineering ethics and ACM/IEEE guidelines; real-world use cases; software processes; plan-driven versus Agile processes; the Waterfall model of the SDLC; iterative, incremental and adaptive process models; software process activities; process improvement; requirements engineering; functional and non-functional requirements; the requirements engineering process; elicitation, specification, validation and change management; system modeling; context, interaction, structural and behavioural models; model-driven software engineering; architecture and design; architectural design decisions, views and patterns; application architectures; implementation; object-oriented analysis and design with UML; design patterns; implementation issues; open source development; software testing; development testing; test-driven development; release testing; user testing; Agile development; the Agile Manifesto; Agile methodologies; scaling Agile methods; dependable systems and reliability engineering; dependability properties; sociotechnical systems; redundancy and diversity; formal methods; reliability and its measurement; fault-tolerant architectures; distributed software engineering; client–server computing; architectural patterns for distributed systems; software as a service; project management; risk management; managing people; teamwork; quality management."
2,2025,Decentralized Application Development,"Overview of blockchains, their applications and their role in the future; the history of blockchain and the making of Bitcoin, including a paper review of Satoshi Nakamoto's ""Bitcoin: A Peer-to-Peer Electronic Cash System""; the structure of the Bitcoin blockchain — blocks, transactions, UTXOs, wallets and proof of work; the emergence of Ethereum and its significance, the Ethereum evolution timeline and forks, and a paper review of Vitalik Buterin's ""Ethereum, a Next-Generation Smart Contract and Decentralized Application Platform""; the structure of the Ethereum blockchain — blocks, transactions, logs, events and contracts, explored via Etherscan; Ethereum data structures such as Merkle trees, Merkle Patricia tries, Bloom filters and logs; smart contracts and Solidity, including bytecode and ABIs, and Solidity programming with the Remix IDE; Agile-powered full-stack dApp development; decentralised finance — cryptocurrencies, CEXs, DEXs, stablecoins, ERC-20/721/1155 tokens, AMMs, governance and DAOs, bridging, tokenomics, KYC and KYB, and risk taxonomy; blockchain security — real stories, trustless transactions, custodial vs non-custodial wallets, smart-contract security, FUD attacks, spam vs scam, oracles, L2 security, audit and verification; permissioned blockchains — the trust model, consensus and Byzantine fault tolerance, Hyperledger Fabric, security failure points and a design checklist; multi-sig wallets, zero-knowledge proofs and post-quantum security; and the Web 3.0 ecosystem and ethics."
3,2025,Machine Learning,"Introduction to artificial intelligence and machine learning; prompt engineering; Python programming for machine learning; linear and logistic regression; neural networks; convolutional neural networks; model evaluation; and practical machine learning projects for GirlsWhoML."
3,2023,Design and Analysis of Algorithms,"Overview of algorithms and their role in life; mathematical and algorithmic notions and the concept of space–time complexity with real-life examples; asymptotic notations; time-complexity analysis of basic sorting algorithms; recurrences and recursive algorithms; binary search and its analysis; Tower of Hanoi; brute-force design strategy; string matching and its analysis; the greedy approach; Huffman coding and its analysis; the influence maximisation problem; divide and conquer; merge sort and its analysis; the Map-Reduce problem; backtracking; depth-first search and its analysis; the N-Queens problem; dynamic programming; knapsack algorithms and their analysis; prime numbers; algorithm optimisation with Karatsuba multiplication; binary trees, heaps and hashing; Rabin–Karp pattern search; graphs — Prim's minimum spanning tree, Bellman–Ford and Dijkstra's shortest path; NP completeness — verification and reducibility; approximation algorithms — set colouring, travelling salesman and vertex cover."
4,2023,Mobile Application Development,Same outline as Spring 2023.
5,2023,Data Structures and Algorithms,"Overview of data organisation in data structures, their operations and the concept of space–time complexity; mathematical and algorithmic notions and the complexity of algorithms with real-life examples; arrays and their representation in memory; traversing, inserting and deleting data in an array; sorting with bubble, insertion and selection sort; time-complexity analysis of sorting algorithms; linked lists and their representation in memory; traversal, insertion and deletion in a linked list; doubly and circular linked lists; stacks and their representation in memory; queues and their representation in memory; linear search on unsorted data; binary search on sorted data; complexity analysis of search algorithms; arithmetic notations (Polish, infix, postfix, prefix) and conversion algorithms; recursion, recursive algorithms and their complexity; solving Tower of Hanoi with stacks and recursion; trees and their representation in memory; binary trees, B-trees and binary search trees; breadth-first and depth-first traversal; heaps, hash tables and their representation in memory; hash functions and their improvement; graphs and their representation in memory; adjacency matrix and adjacency list; key applications — merge sort with stacks and Dijkstra's shortest path with queues."
6,2023,Mobile Application Development,"Introduction to mobile application development — a brief history of smart mobile devices, key differences from desktop and web applications, modern platforms, languages and tools, and native, hybrid and cross-platform development; web-server fundamentals — HTML5, CSS3, JavaScript ES6 and REST architecture; traditional native mobile development — the Android SDK, project structure and activity lifecycle; JavaScript — what's new in ES6, jQuery and React basics; Agile essentials — planning and communication, version control, issue tracking, semantic versioning, automated testing, documentation and code quality control; introduction to React Native — components, views, text and scrollable components, and styling; working with user input — input components, rendering large lists, text input and pressable input; navigation — moving between screens, tab navigation and drawer navigation; working with data — REST APIs, consuming REST in React Native, connecting with an RDBMS, SQLite and async storage; principles of UI design — material design and design fundamentals; UX-based design — UI vs UX, accessibility and ARIA; software distribution — publishing applications, OTA updates, ethics, privacy and security, and internationalisation; advanced topics — custom components, animation, Google Maps and OAuth 2.0."
7,2023,Web Application Development,"Introduction to web application development — history, client-side overview (content, styling, interaction), server-side overview, modern platforms, languages and tools; web fundamentals — web server, browser, HTTP, HTML, CSS, JavaScript, request and response, HTML5, tags, divisions and layouts, forms and input, cascading style sheets, styling objects, groups and sections, common styling attributes and Bootstrap; interactive web pages with scripting — JavaScript basics, variables, functions, loops, ES6 and jQuery; server-side — HTTP request methods, CRUD operations, session and cookie management; the Django framework — MVC vs MVT, project structure, django-admin, WSGI and ASGI, configuration with settings.py and manage.py; Django models — ORM, data entities, overriding built-in attributes, data fields, migrations, the Django shell and querying; Django templates — HTML, header and footer, static resources, URLs, views, forms, common tags and CRUD; Django administration — the admin app, registering custom models, lists, filtering and handling images; security and performance — the auth app, users, groups and privileges, CSRF, CSP, password policy, honeypots, Auth0 authentication and caching views with Memcached/Redis; featured topics — fixtures, exporting data, automated testing, deployment for production, ethics and data privacy."
8,2023,Digital Logic and Design,Introduction to digital design; wave pulse forms of logic gates; logic gates and their diagrams; laws and rules of Boolean algebra and De Morgan's theorem; standard forms of SOP and POS; Karnaugh maps and don't-care maps; special combinational logic circuits; implementation of combinational logic; NAND/NOR as universal gates; half and full adders and subtractors; multipliers and parallel adder/subtractors; code converters and comparators; decoders and encoders; multiplexers and demultiplexers; introduction to sequential logic; latches and flip flops; timing diagrams; design of synchronous and asynchronous counters; sequential circuit analysis; registers; ring and Johnson counters; memories.
